Id,Price
4567,161517.5342234448
5925,113734.40223201868
960,134441.83729954014
3848,123737.06916241898
746,164495.46138139747
868,351782.43256861885
672,121930.25799236022
2471,226092.42671968
4510,115961.84605104498
8354,250496.37442746843
6393,184788.34179345903
13270,209122.3383919414
5250,255223.89240263557
16751,176875.63196194367
11404,140867.59015365594
10588,329179.6720347083
14925,177690.73030293864
6791,230514.28026831034
16097,175436.27111964318
16428,376440.7875481455
6945,342772.5638743305
3190,188394.73248602706
15709,509154.11520720384
13155,170911.09625653847
7675,189994.61347710236
14686,210928.63705048795
609,154392.42705747127
11155,156245.8739735023
10869,186142.85986601107
15742,222591.4153557661
9245,179734.7637531693
3340,164892.433552589
2359,310831.25219716487
8070,206565.2936963448
13707,127548.64857715227
16079,250217.54071113054
15937,272660.243471906
14090,186038.41368113615
9008,218300.21996857433
16384,173012.62016044513
11657,196785.374670703
13151,139045.06996814677
8990,152731.81250550417
11857,183282.47704764063
1565,168502.80175930943
8174,111370.54141373877
9247,225585.8428465469
10478,208830.3564794626
15509,147432.82843776114
8306,264496.24969415856
6642,177193.7306199971
7472,220098.36461421536
15989,121035.14228287205
13682,133921.7168307036
163,264816.6646500704
7076,177990.1727773856
7478,342605.11983730015
3029,178789.5205858077
1814,145453.0145455283
10057,132059.1909947799
15100,194502.0496411471
12694,210499.6387127156
6291,188659.65433697036
12603,153388.46393884273
3218,268708.58342911507
13456,131587.15203800684
10170,253289.47154942152
4530,143326.31507457024
13329,174050.546143038
4820,142446.42641740982
10896,172614.50763331584
13416,125285.81563900439
2701,220796.1074806136
11265,302822.1915922929
9189,284093.3984236064
1858,180355.94870556847
14536,245792.73096771853
6199,279767.374784438
14730,162256.25078287834
7510,264888.27063297655
15505,171147.69396059145
7446,179327.41759033967
14016,179808.38025245903
14113,102054.88086201265
8721,317185.3788086831
6193,285887.99860981025
5717,180434.4310563041
5427,299101.6000819221
9520,487830.1191514274
6869,91446.00699437312
1658,152003.5768245645
